DayOfYear,Planting Schedule,avg_rain_avg,stnddev_rain_avg,avg_netrad_avg,stnddev_netrad_avg,avg_airtemp_avg,stnddev_airtemp_avg,avg_pr,stddev_pr
100,4/1,0.002267857,0.044197039,116.2680125,257.9494758,13.71678571,27.45147903,466.7303869,591.8940053
101,4/1,0.004082143,0.068606333,130.9590744,281.4825311,14.9224631,27.64622857,502.2827357,642.4095001
102,4/1,0,0,133.8330196,283.6405554,16.42180357,27.81915109,510.634625,645.9170902
103,4/1,0,0,137.4845839,287.1633019,17.8682619,28.15704565,525.2188589,659.6590014
104,4/1,0,0,136.3513512,285.8609749,18.50409524,28.37500378,521.208322,652.2311999
105,4/1,0.01905,0.282934062,137.1623494,292.570562,17.743625,28.11075918,507.5577554,648.28023
106,4/1,0,0,181.2141667,317.4015502,23.34104167,7.033731596,593.4544375,712.4092207
107,4/15,0,0,140.6925482,292.6549993,17.42959524,28.00353404,521.4063125,662.9972184
108,4/15,0,0,135.2123866,280.25246,18.8899433,26.21197243,532.3892515,677.8104781
109,4/15,0,0,133.5728435,285.761039,15.81225926,24.00852562,538.0852986,677.8854129
110,4/15,0.0396875,0.267726435,110.2072849,281.9496297,12.73730208,25.18022158,453.8359094,638.4178949
111,4/15,0.010230556,0.166621318,134.6406171,278.0499608,14.80526389,24.43257237,533.0170639,662.2348436
112,4/15,0.000352778,0.009459445,127.9948042,272.58942,17.56156944,24.80624389,515.0542681,652.4283094
113,4/15,0.002822222,0.048184847,141.6237884,283.4269133,18.23206019,24.98571524,564.1669736,684.3401169
114,4/15,0.009525,0.174541596,136.2162403,272.557026,20.03646296,25.34542105,543.9927106,670.2450163
115,4/15,0,0,151.5935172,287.2877029,19.79783333,27.02560938,574.4312683,699.1068534
116,4/15,0,0,138.7701833,286.5188744,17.86480357,27.99475782,550.1866357,690.4948976
117,4/15,0,0,133.0253043,270.0006346,19.35444149,27.16151915,558.6144404,672.8608981
118,4/15,0,0,127.4671968,266.4540592,20.83775463,25.51507717,549.3119593,683.05786
119,4/15,0,0,125.0075528,258.9134751,21.04008796,25.21094946,540.7961667,657.7168905
120,4/15,0,0,135.3989481,275.5336966,20.07024537,24.85467401,573.8875833,696.5754858
121,4/15,0,0,140.0963782,258.5910123,24.31567308,5.034686626,609.2915128,697.2078173
122,5/1,0,0,140.1977755,277.2664051,19.38741667,25.09740736,585.8802153,704.2773375
